,Date,Time,spendingDetail,spendingAmount,currency,Bangkok Bank American Express,Bangkok Bank Visa Platinum,Visa Platinum KBank,THE PASSION Visa Signature KBank,CardX ULTRA PLATINUM,CardX MY TRAVEL,ttb so chill,ttb so fast,ttb absolute,KTC AGODA WORLD REWARDS MASTERCARD
35,2023-01-10,15:04,ซื้อของที่ HomePro,2000,THB,80,80,80,160,80,80,80,200,100,80
36,2023-01-10,9:42,ซื้ออาหารที่ร้านสะดวกซื้อ,150,THB,6,6,6,12,6,6,6,15,7,6
37,2023-01-10,1:01,ชำระค่าเช่าบ้าน,32000,THB,1280,1280,1280,2560,1280,1280,1280,3200,3200,1280
38,2023-01-10,7:41,เติมเงินโทรศัพท์มือถือ,500,THB,20,20,20,40,20,20,20,50,25,20
39,2023-01-10,3:38,ซื้อของออนไลน์ที่ Shopee,1000,THB,40,40,40,80,40,40,40,100,100,40
40,2023-01-11,23:11,ซื้อขนมที่ร้านสะดวกซื้อ,100,THB,4,4,4,8,4,4,4,10,5,4
41,2023-01-11,14:18,เติมเงินบัตรเครดิต,3000,THB,120,120,120,240,120,120,120,300,150,120
42,2023-01-11,0:14,ซื้อของที่ร้านอุปกรณ์กีฬา,2000,THB,80,80,80,160,80,80,80,200,100,80
43,2023-01-12,3:53,ซื้อตั๋วชมคอนเสิร์ต,3000,THB,120,120,120,240,120,120,120,300,300,120
44,2023-01-12,12:57,ซื้ออาหารกลางวันที่ร้านอาหาร,600,THB,24,24,24,48,120,24,24,60,30,24
45,2023-01-12,10:20,ชำระค่าบริการสาธารณูปโภค,1200,THB,48,48,48,96,48,48,48,120,120,48
46,2023-01-12,11:04,ซื้อเครื่องใช้ไฟฟ้า,2500,THB,100,100,100,200,100,100,100,250,250,100
47,2023-01-13,6:04,ซื้อกาแฟที่ร้านกาแฟ,150,THB,6,6,6,12,30,6,6,15,7,6
48,2023-01-13,15:52,ซื้อตั๋วเข้าชมพิพิธภัณฑ์,300,THB,12,12,12,24,12,12,12,30,15,12
49,2023-01-13,3:12,ชำระค่าบริการซ่อมบ้าน,1200,THB,48,48,48,96,48,48,48,120,120,48
50,2023-01-14,9:18,ซื้ออาหารเช้าที่ร้านกาแฟ,250,THB,10,10,10,20,50,10,10,25,12,10
51,2023-01-14,19:25,ซื้อของที่ Tesco Lotus,1000,THB,40,40,40,80,40,40,40,100,50,40
52,2023-01-14,21:30,เติมเงินเข้าบัตรทรูมันนี่,500,THB,20,20,20,40,20,20,20,50,25,20
53,2023-01-15,10:00,ซื้อของที่ 7-Eleven,200,THB,0,0,8,16,0,0,8,20,10,0
54,2023-01-15,15:45,ชำระค่าที่พัก Airbnb,3500,THB,140,140,140,280,140,140,140,350,350,140
55,2023-01-15,20:00,ซื้ออาหารเย็นที่ร้านอาหาร,800,THB,32,32,32,64,160,32,32,80,40,32
56,2023-01-16,11:30,เติมน้ำมันที่ Shell,1200,THB,48,48,48,96,48,48,48,120,60,48
57,2023-01-16,16:45,ซื้ออุปกรณ์คอมพิวเตอร์ที่ IT City,4000,THB,160,160,160,320,160,160,160,400,400,160
58,2023-01-17,8:00,ซื้อกาแฟที่ร้านกาแฟ,200,THB,8,8,8,16,40,8,8,20,10,8
59,2023-01-17,12:00,ชำระค่าสมาชิก Spotify,200,THB,8,8,8,16,8,8,8,20,20,8
60,2023-01-18,9:00,ซื้อตั๋วชมการแสดง,2000,THB,80,80,80,160,80,80,80,200,200,80
61,2023-01-18,13:30,ซื้อของที่ Big C,1500,THB,60,60,60,120,60,60,60,150,75,60
62,2023-01-18,18:00,ซื้ออาหารค่ำที่ร้านอาหาร,1000,THB,40,40,40,80,200,40,40,100,50,40
63,2023-01-19,10:00,ซื้อของออนไลน์ที่ Shopee,800,THB,32,32,32,64,32,32,32,80,80,32
64,2023-01-19,14:30,เติมเงินโทรศัพท์มือถือ,300,THB,12,12,12,24,12,12,12,30,15,12
65,2023-01-20,11:00,ซื้อของที่ 7-Eleven,150,THB,0,0,6,12,0,0,6,15,7,0
66,2023-01-21,9:30,ซื้อตั๋วเครื่องบินไปกรุงเทพฯ,5000,THB,200,200,200,400,200,200,200,500,500,200
67,2023-01-21,14:00,ซื้ออาหารที่ร้านอาหารญี่ปุ่น,1200,THB,48,48,48,96,240,48,48,120,60,48
68,2023-01-21,18:00,ซื้อของที่ร้านสะดวกซื้อ,300,THB,12,12,12,24,12,12,12,30,15,12
69,2023-01-22,12:00,ซื้อเครื่องดื่มที่ร้านกาแฟ,200,THB,8,8,8,16,40,8,8,20,10,8
70,2023-01-22,16:00,ซื้อตั๋วเข้าชมสวนสนุก,2500,THB,100,100,100,200,100,100,100,250,250,100
71,2023-01-23,10:00,ซื้อของที่ Tesco Lotus,800,THB,32,32,32,64,32,32,32,80,40,32
72,2023-01-23,14:00,ชำระค่าบริการอินเทอร์เน็ต,1000,THB,40,40,40,80,40,40,40,100,100,40
73,2023-01-24,9:00,ซื้อของที่ Big C,500,THB,20,20,20,40,20,20,20,50,25,20
74,2023-01-24,13:30,ซื้อของออนไลน์ที่ Lazada,1500,THB,60,60,60,120,300,60,60,150,150,60
75,2023-01-25,10:00,ซื้อของที่ 7-Eleven,100,THB,0,0,4,8,0,0,4,10,5,0
76,2023-01-25,15:00,ซื้อของที่ร้านเครื่องสำอาง,800,THB,32,32,32,64,32,32,32,80,40,32
77,2023-01-26,9:00,ชำระค่าบริการอินเทอร์เน็ต,600,THB,24,24,24,48,24,24,24,60,60,24
78,2023-01-26,14:00,ซื้อของที่ร้านค้าทั่วไป,400,THB,16,16,16,32,16,16,16,40,20,16
79,2023-01-26,18:00,ซื้อของที่ร้านสะดวกซื้อ,150,THB,6,6,6,12,6,6,6,15,7,6
80,2023-01-27,10:00,ซื้อของที่ร้านอุปกรณ์กีฬา,1200,THB,48,48,48,96,48,48,48,120,60,48
81,2023-01-27,13:00,ซื้อตั๋วเครื่องบิน,5000,THB,200,200,200,400,200,200,200,500,500,200
82,2023-01-27,19:00,ชำระค่าบริการโทรศัพท์มือถือ,300,THB,12,12,12,24,12,12,12,30,15,12
83,2023-01-28,11:00,ซื้อของที่ Central,2000,THB,80,80,80,160,80,80,80,200,100,80
84,2023-01-28,15:00,ซื้อเครื่องใช้ไฟฟ้า,3000,THB,120,120,120,240,120,120,120,300,300,120
85,2023-01-28,20:00,ซื้อของที่ร้านหนังสือ,800,THB,32,32,32,64,32,32,32,80,40,32
86,2023-01-29,10:00,ซื้อของที่ 7-Eleven,200,THB,0,0,8,16,0,0,8,20,10,0
87,2023-01-29,16:00,ซื้อของที่ร้านสะดวกซื้อ,300,THB,12,12,12,24,12,12,12,30,15,12
88,2023-01-30,9:00,ชำระค่าบริการสาธารณูปโภค,1000,THB,40,40,40,80,40,40,40,100,100,40
89,2023-01-30,12:00,ซื้อของออนไลน์ที่ Shopee,1200,THB,48,48,48,96,48,48,48,120,120,48
90,2023-01-30,18:00,ซื้อของที่ Big C,1500,THB,60,60,60,120,60,60,60,150,75,60
91,2023-01-31,10:00,ซื้อของที่ Tesco Lotus,600,THB,24,24,24,48,24,24,24,60,30,24
92,2023-01-31,14:00,ซื้อของที่ร้านเครื่องสำอาง,800,THB,32,32,32,64,32,32,32,80,40,32
93,2023-01-31,19:00,ชำระค่าบริการโทรศัพท์มือถือ,500,THB,20,20,20,40,20,20,20,50,25,20
94,2023-01-31,21:00,ซื้อของที่ร้านค้าออนไลน์,1200,THB,48,48,48,96,48,48,48,120,120,48
total,0,0,0,0,0,11992,11992,12052,24104,15752,11992,12052,30130,25826,12592
